"estabelecimento","total gasto"
"ATLÂNTICA HOTELS INTERNACIONAL BRASIL LTDA","5226,25"
"HOTEIS DEVILLE LTDA","5212,9"
"PLAZZA HOTEL",5160
"GOLDEN EXECUTIVE HOTEL LTDA","5139,26"
"ESTANCIA PARK HOTEL",5129
"HOTEL PIRA",5117
"TAJ HOTEL LTDA","5112,8"
"SAN MARINO HOTEL - ORGANIZAÇÃO HOTELEIRA JOMATEL LTDA",5080
"HOTEL AEROPORTO LTDA","5035,8"
"NOUMI EMPREENDIMENTOS HOTELEIROS LTDA","5025,58"
"CHURRASCARIA PANTANAL","5001,5"
"REGENTE FLAT SERVICE LTDA",4944
"JOSÉ VIEIRA FONTES FILHO",4900
"MARA PALACE HOTEL LTDA",4900
"G. HENRIQUE ARAÚJO - ME",4860
"R. C. MORAES",4830
"LOURIVAL PESSOA MARQUES FILHO-ME-SPAZIO HOTEL",4826
"COMERCIAL MUNIQUE DE ALIMENTOS LTDA",4800
"SAN CONRADO PLAZA HOTEIS E TURISMO LTDA - EPP",4795
"MARINA'S BAR RESTAURANTE LTDA",4790
"TRANSBRASILIANA HOTEIS LTDA",4777
"CRUZ DE MALTA EMPREENDIMENTO TURÍSTICO LTDA",4725
"SLEEP INN",4725
"P.K. HOTELARIA E ADM. DE BENS LTDA",4710
"HOTEIS ROYAL PALM PLAZA LTDA","4672,5"
"POUSADA PONTAL DOS ANJOS - JOÃO GERVÁSIO PAIXÃO -ME",4670
"MELIÁ BRASIL ADMINISTRAÇÃO HOTELEIRA E COMERCIAL",4665
"IRMANDADE SANTA CASA DE MISECORDIA DE SOBRAL",4629
"JOÃO RODRIGUES MANTA HOTÉIS DE TURISMO LTDA","4628,82"
"ITATIAIA PALACE HOTEL CHAPECÓ LTDA","4628,3"
"C.G EMPREENDIMENTOS TURISTICOS LTDA",4610
"CASIMAR EMPREENDIMENTOS E TURISMO LTDA",4590
"DN HOTEL LTDA - ME",4580
"MARISE PRACO GAIOTTO FERREIRA ME",4528
"FLORIANO ALVES BANDEIRA","4525,4"
"ALMIR DA FONSECA POUSADA ME",4485
"VILLAGE RESORT DO BRASIL LTDA","4470,15"
"PODIUM APART/HOTEL LTDA","4457,3"
"MARIA DE MELO ÁVILA",4335
"SOLUTION ADMINISTRAÇÃO DE HOTÉIS & RESORTS LTDA","4331,94"
