"estabelecimento","total gasto"
"PANIFICADORA E ROTISSERIA MONZA LTDA ME",1183
"PIRAMIDE PALACE HOTEL LTDA",1174
"QUALLITY DISTRIBUIDORA DE ALIMENTOS LTDA","1168,45"
"CONFEITARIA CASA DE MINAS LTDA",1167
"FRUTARIA E RESTAURANTE ALPHA MALL LTDA","1165,6"
"BOMPREÇO SUPERMERCADO DO NORDESTE","1164,68"
"VANUSA MARIA DA SILVA RESTAURANTE - ME","1162,5"
"RESTAURANTE VILA ANTIGA GRILL LTDA","1159,3"
"SUPERMERCADO RIBEIRO & RIBEIRO LTDA",1155
"A. L. VEZZAN & IRMÃO LTDA ME (RESTAURANTE E LANCHONETE PALHOÇA)",1150
"PANIFICADORA PÃO DA HORA",1150
"CARREFOUR","1149,74"
